event,det,row,col,a00,a01,a02,a03,a04,a05,a06,a07,a08,a09,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29
1,185,10,126,12,10,9,11,12,10,9,10,10,10,9,12,10,10,10,11,12,11,11,9,9,10,10,8,10,10,10,9,10,13
1,185,10,126,12,10,9,11,12,10,9,10,10,10,9,12,10,10,10,11,12,11,11,9,9,10,10,8,10,10,10,9,10,13
1,200,13,20,11,16,14,13,14,12,10,11,11,11,11,12,10,11,11,10,11,9,10,9,10,9,11,10,11,11,8,11,9,10
1,200,13,21,25,51,40,25,21,19,16,15,14,11,14,12,14,14,12,13,12,15,14,12,12,11,10,9,11,12,11,9,12,9
1,200,13,22,62,83,56,35,27,25,23,16,19,16,18,19,15,16,13,14,14,12,12,14,12,13,12,12,11,13,12,12,12,8
1,200,13,23,43,61,44,30,23,20,20,19,15,14,15,12,14,15,14,13,13,14,13,13,11,12,12,11,10,12,11,10,9,11
1,200,13,24,24,39,31,21,17,15,15,15,13,13,13,11,12,10,10,11,12,12,13,11,11,9,10,10,11,10,9,8,11,13
1,200,13,25,10,13,8,11,10,11,10,11,9,11,11,9,10,11,7,8,11,10,9,8,12,8,11,10,9,9,10,11,12,10
1,342,2,104,9,11,10,9,10,12,12,10,11,11,11,12,11,8,11,9,8,8,14,19,17,14,13,13,11,10,11,10,10,8
1,342,2,105,9,8,11,9,7,9,11,8,10,12,11,11,12,11,15,18,32,37,53,73,60,41,29,26,23,23,19,20,19,17
1,342,2,106,10,10,11,10,10,9,10,11,12,17,16,24,32,41,47,44,53,51,47,39,33,25,22,18,17,18,15,16,15,17
1,342,2,107,10,11,14,17,15,16,19,26,36,64,71,67,61,53,42,34,29,27,25,20,21,18,18,18,16,17,16,17,13,13
1,342,2,107,10,11,14,17,15,16,19,26,36,64,71,67,61,53,42,34,29,27,25,20,21,18,18,18,16,17,16,17,13,13
1,342,2,108,26,41,51,62,61,55,50,43,45,50,45,39,29,29,24,20,20,18,20,18,17,17,14,14,9,13,14,13,13,14
1,342,2,108,26,41,51,62,61,55,50,43,45,50,45,39,29,29,24,20,20,18,20,18,17,17,14,14,9,13,14,13,13,14
1,342,2,109,68,86,67,53,39,30,28,24,22,17,19,19,19,15,17,16,16,15,14,13,12,13,12,11,12,11,13,12,14,10
1,342,2,109,68,86,67,53,39,30,28,24,22,17,19,19,19,15,17,16,16,15,14,13,12,13,12,11,12,11,13,12,14,10
1,342,2,110,23,23,16,13,13,13,11,13,12,13,12,11,10,13,12,11,8,11,11,11,11,7,8,9,10,11,12,10,9,11
1,343,1,115,10,11,10,11,10,9,10,11,11,11,9,11,10,10,13,9,10,13,12,10,9,11,11,12,12,10,9,9,10,10
1,343,1,116,11,9,10,9,12,11,10,10,10,11,10,11,12,10,11,12,11,10,14,15,21,25,18,19,16,12,15,11,10,13
1,343,1,117,11,11,11,12,11,12,10,13,13,12,12,13,19,67,135,116,84,64,49,46,45,44,39,30,28,25,25,24,21,18
1,343,1,118,10,11,9,9,12,20,23,24,45,54,45,37,36,99,179,141,93,64,48,43,37,36,33,28,28,27,25,24,24,21
1,343,1,119,11,18,17,20,46,116,116,87,84,79,60,48,38,38,37,32,28,26,24,23,23,19,18,20,17,19,15,15,14,15
1,343,1,120,72,105,83,57,54,63,56,42,34,30,25,25,21,22,21,16,16,14,20,16,17,14,16,14,14,15,17,12,10,13
1,343,1,121,55,80,60,40,29,23,23,18,18,17,15,15,17,14,15,14,16,11,12,14,13,9,13,13,13,11,11,10,13,13
1,343,1,122,10,14,12,12,11,9,9,10,11,11,11,12,11,10,10,10,12,12,14,10,10,11,9,6,11,10,9,12,10,9
1,344,1,127,12,9,12,12,9,10,9,10,10,10,10,10,8,9,11,9,11,12,12,17,16,14,15,11,12,12,10,11,11,12
1,344,1,127,12,9,12,12,9,10,9,10,10,10,10,10,8,9,11,9,11,12,12,17,16,14,15,11,12,12,10,11,11,12
1,344,1,128,11,9,12,8,10,10,9,10,11,9,9,11,10,13,15,20,32,42,44,41,40,29,24,19,16,17,16,14,15,14
1,344,1,129,12,9,12,11,9,9,11,14,12,12,16,22,30,33,36,45,49,45,35,27,22,23,19,17,16,16,16,16,14,14
1,344,1,130,9,12,11,9,16,39,41,53,58,54,56,58,60,49,41,33,29,25,23,20,21,20,18,18,16,16,15,15,12,15
1,344,1,131,18,27,27,25,43,99,102,77,60,46,39,32,31,29,26,20,22,20,19,19,16,18,15,16,15,18,17,14,14,15
1,344,1,132,44,71,52,35,31,28,28,19,19,19,17,17,16,15,17,12,13,16,13,15,13,11,12,15,12,10,11,13,11,11
1,344,1,133,16,24,18,15,12,15,10,14,9,14,10,10,10,11,11,11,12,11,12,10,9,10,10,8,9,10,11,11,11,11
1,344,1,134,9,11,9,12,10,7,10,10,10,10,13,10,11,12,9,9,9,9,11,11,10,10,9,11,11,10,10,10,11,12
1,355,2,41,12,9,11,11,9,9,8,8,9,8,14,10,15,10,12,11,12,16,16,15,12,16,14,13,13,11,12,12,10,12
1,355,2,42,9,9,13,10,11,14,21,23,24,21,23,31,35,31,32,35,49,66,60,44,39,36,34,28,23,21,22,16,19,20
1,355,2,43,10,10,10,10,10,16,28,29,25,21,21,25,28,21,21,23,21,27,22,18,19,16,16,17,14,13,12,12,11,13
1,355,2,44,10,8,10,12,10,11,10,10,10,10,11,13,11,12,9,13,11,12,12,10,10,10,10,9,10,12,11,8,8,10
1,355,3,41,10,12,10,11,9,12,9,11,12,10,11,12,10,12,8,9,12,12,9,9,11,10,8,10,8,12,9,10,11,9
1,355,3,42,18,37,37,35,28,27,25,19,20,17,17,16,15,14,13,15,12,12,12,11,13,14,12,11,13,13,13,11,10,13
1,355,3,43,26,47,43,35,28,23,20,18,16,15,14,14,14,14,12,15,13,13,12,13,13,10,13,11,11,10,11,11,11,12
1,355,3,44,9,13,11,11,13,11,8,11,10,10,12,9,8,9,11,9,12,11,9,8,8,10,11,10,12,10,9,9,10,9
1,356,2,43,11,8,9,10,9,9,8,9,9,11,12,11,11,12,11,14,15,19,16,19,22,17,17,13,13,15,11,9,13,10
